Application Number,Title,Abstract,Application Date,Classification,Country Name (Priority),Priority Number,Priority Date,Earliest Priority Date,Application Type (ID)
P2025-00221,SYSTEM FOR DELIVERING ADVERTISEMENT CONTENT,,2025-01-22,H04N 21/00,Israel,310350,2024-01-23,2024-01-23,4
P2025-00316,vehicle suspension,,2025-01-31,B60L 13/00,Czechia,PV 2024-40,2024-02-02,2024-02-02,4
P2025-00297,SELECTIVE METAL RECOVERY,,2025-01-29,C08F 4/46,United States of America,"18/597,012",2024-03-06,2024-03-06,4
P2025-00302,"MACHINE AND METHOD FOR CLEANING LENSES, LIKE EYEGLASS LENSES",,2025-01-30,B08B 1/00,European Patent Office (EPO),24 155 201.7,2024-02-01,2024-02-01,4
P2025-00317,ARTIFICIALLY INTELLIGENT ATMOSPHERIC WATER GENERATION SYSTEM CONTROL,,2025-02-01,G05D 101/10,United States of America,"18/431,011",2024-02-02,2024-02-02,4
P2025-00301,"GRIPPER DEVICE FOR RELEASABLY HOLDING A LENS, A HANDLING SYSTEM AND A MACHINE FOR PROCESSING LENSES",,2025-01-30,"B23Q 1/00, B23Q 3/00",European Patent Office (EPO),24 155 191.0,2024-02-01,2024-02-01,4
P2025-00213,PLUG WITH LINKED FLIPPING PINS,,2025-01-22,"B62D 55/21, B62D 55/215",China,202410331147,2024-03-19,2024-03-19,4
P2025-00293,Monolithic wafer-like cathode synergically grown from poly-crystalline and amorphous glass-like domains and method of producing thereof,,2025-01-29,"B23K 9/12, B23K 9/127",Luxembourg,LU103238,2024-01-31,2024-01-31,4
P2025-00162,SUPPORT SYSTEM FOR OFFSHORE SOLAR PHOTOVOLTAICS EQUIPMENT,,2025-01-16,"B63B 35/44, B63B 39/02, F24S 20/70, H02S 20/00",Taiwan,113101901,2024-01-17,2024-01-17,4
P2025-00259,"MULTI-POSITION CONTROLLED AIRWAY VALVE, REFILLING DEVICE AND REFILLING SYSTEM",,2025-01-27,A24F 15/015,"China, China","202410431849.8 , 202420739270.3","2024-04-10, 2024-04-10",2024-04-10,4
P2025-00161,WIND AND WAVE REDUCTION DEVICE FOR AN OFFSHORE SOLAR PHOTOVOLTAIC MODULE AND WIND AND WAVE REDUCTION SYSTEM INCLUDING THE SAME,,2025-01-16,"E02B 3/00, E04D 13/18",Taiwan,113101900,2024-01-17,2024-01-17,4
P2025-00086,CONTAINER MODULE AND CONTAINER SYSTEM,,2025-01-10,C07C 53/138,China,202420064749,2024-01-10,2024-01-10,4
P2025-00120,NEURAL NETWORK-BASED CODING AND DECODING,,2025-01-13,H03M 13/33,"United States of America, United States of America","63/621,233 , 19/016,991","2024-01-16, 2025-01-10",2024-01-16,4
P2025-00085,LEARNING BASED METHODS FOR REAL-TIME OMNIDIRECTIONAL VIDEO STREAMING,,2025-01-10,H04N 21/2662,United States of America,"63/619,789",2024-01-11,2024-01-11,4
P2025-00126,"METHOD FOR GENERATING AN OPTIMAL TREE FOR RENDERING OR STREAMING A 3D MODEL, HOST, AND NON-TRANSITORY STORAGE CIRCUIT",,2025-01-14,H04N 13/275,"United States of America, United States of America","63/622,541, 18/657,747","2024-01-19, 2024-05-07",2024-01-19,4
P2025-00054,DEVICE AND KIT FOR INSPECTING A CAVITY,,2025-01-08,A61H 21/00,Italy,102024000000978,2024-01-19,2024-01-19,4
P2025-00098,PROCESS AND SYSTEM FOR ENHANCING PETROCHEMICAL FEEDSTOCK,,2025-01-12,C08G 18/08,India,202421004157,2024-01-20,2024-01-20,4
P2025-00105,MOUNTING BRACKET FOR AN OFFSHORE PHOTOVOLTAIC MODULE,,2025-01-13,F24S 25/00,Taiwan,113101902,2024-01-17,2024-01-17,4
P2025-00097,"HEAT DISSIPATION CONTROL SYSTEM AND METHOD THEREOF, AND IMMERSION LIQUID COOLING SYSTEM",,2025-01-12,E21D 13/02,China,202410052252,2024-01-12,2024-01-12,4
P2025-00531,COMPACT INTERNALLY-ACTUATED CABLE-DRIVEN PARALLEL ROBOT,,2025-02-21,B22F 12/00,United States of America,"63/556,627",2024-02-22,2024-02-22,4
P2025-00587,AN OPTIMIZED KNEE EXOSKELETON WITH TUNABLE COMPLIANCE FOR REHABILITATION AND ASSISTANCE,,2025-02-26,B62J 25/02,United States of America,"63/557,819",2024-02-26,2024-02-26,4
P2025-00525,LOW VOLTAGE CONTACT GROUP,,2025-02-20,C25D 11/04,European Patent Office (EPO),24158529.8,2024-02-20,2024-02-20,4
P2025-00617,EXPERIMENT-IN-THE-LOOP SYSTEM FOR FAST AND EFFECTIVE TUNING OF ACTIVE VIBRATION CONTROLLERS,,2025-02-28,G05B 13/02,"United States of America, United States of America, United States of America","63/561,152 , 63/706,798 , 19/063,473","2024-03-04, 2024-10-14, 2025-02-26",2024-03-04,4
P2025-00453,CONFIGURABLE AND CUSTOMIZABLE CART,,2025-02-14,H04L 41/0803,United States of America,"18/444,163",2024-02-16,2024-02-16,4
P2025-00595,"Tube production, pre-insulated tubular rods",,2025-02-27,B32B 1/08,European Patent Office (EPO),24160742.3,2024-03-01,2024-03-01,4
P2025-00514,SYSTEM FOR CREATING INDIVIDUALIZED ATMOSPHERES WITHIN A SPORTS TRAINING FACILITY,,2025-02-19,A63B 69/00,Belgium,BE2024/5102,2024-02-20,2024-02-20,4
P2025-00344,Home based portable piezoelectric detection device and system,,2025-02-04,"H10N 30/03, A61B 5/00",United States of America,"US 18/732,158",2024-06-03,2024-06-03,4
P2025-00528,"An adapter element, a filter cartridge, an air filter device, a method for replacing a filter cartridge of an air filter device by another filter cartridge",,2025-02-20,B01D 27/00,Germany,102024105104,2024-02-23,2024-02-23,4
P2025-00342,A method of preparing a hybrid inorganic-organic MOF compound with high photoluminescence (PL) quantum yields (PLQY),,2025-02-04,C09K 11/06,United States of America,"US 18/743,681",2024-06-14,2024-06-14,4
P2025-00411,AUTONOMOUS RESTRICTION NAVIGATION,,2025-02-10,G16Y 40/60,"United States of America, United States of America","63/551,616, 19/047,941","2024-02-09, 2025-02-07",2024-02-09,4
P2025-00317,ARTIFICIALLY INTELLIGENT ATMOSPHERIC WATER GENERATION SYSTEM CONTROL,,2025-02-01,G05D 101/10,United States of America,"18/431,011",2024-02-02,2024-02-02,4
P2025-00632,PRODRUGS AS SELECTIVE ANTIBIOTICS AGAINST COLIBACTIN-PRODUCING E. COLI,,2025-02-28,A23C 19/11,United States of America,"63/559,836",2024-02-28,2024-02-28,4
P2025-00910,MICROWAVE AND LASER ASSISTED PRODUCTION REFRACTORY METAL OXIDES,,2025-03-27,C22C 49/10,United States of America,"63/571,840",2024-03-29,2024-03-29,4
P2025-00947,TRUCK IGNITION STARTING APPARATUS,,2025-03-28,H02J 7/00,China,202420972178,2024-05-07,2024-05-07,4
P2025-00922,A METHOD FOR RECOVERY OF METALS FROM CATHODE MATERIAL OF SPENT LITHIUM TITANIUM OXIDE BATTERY,,2025-03-27,C25C 7/08,India,202411026709,2024-03-30,2024-03-30,4
P2025-00907,SURFACE SWIVEL FOR WELLHEAD ORIENTATION,,2025-03-27,B29C 70/14,"United States of America, United States of America","19/082,842, 63/570,887","2025-03-18, 2024-03-28",2024-03-28,4
P2025-00939,"GATE VALVE SEATS AND SEALS, KITS, AND ASSOCIATED METHODS TO ENHANCE OPERATING LIFE OF GATE VALVES",,2025-03-27,F16K 3/18,"United States of America, United States of America, United States of America","US 63/575,485, US 63/715,394, US 19/087,153","2024-04-05, 2024-11-01, 2025-03-21",2024-04-05,4
P2025-00945,Modular cab structure of a utility motor vehicle,,2025-03-28,B62D 63/02,Czechia,CZ2024-111,2024-03-28,2024-03-28,4
P2025-00951,HANGING PRODUCTION LOGGING TOOLS BELOW A CABLE DEPLOYED ELECTRIC SUBMERSIBLE PUMP,,2025-03-28,E21B 43/00,United Kingdom,2404758.1,2024-04-03,2024-04-03,4
P2025-00892,CARBON-BASED ADSORBENTS FOR SELECTIVE REMOVAL OF PARAFFINS FROM LIGHT OLEFIN/PARAFFIN MIXTURES AND METHOD OF MANUFACTURING SAME,,2025-03-26,B01D 53/10,Greece,20240100230,2024-04-01,2024-04-01,4
P2025-00867,Movable maintenance workshop for vehicles,,2025-03-24,F21L 4/02,France,FR2402888,2024-03-25,2024-03-25,4
P2025-00796,Railway wheel boring machine for machining the bore of the hub of a railway wheel,,2025-03-18,B23B 39/02,European Patent Office (EPO),EP24382292.1,2024-03-18,2024-03-18,4
P2025-00902,TRIPHENYLPHOSPHINE RUTHENIUM PHOTOCATALYST FOR HYDROGEN PRODUCTION,,2025-03-27,C01B 3/02,United States of America,"18/622,251",2024-03-29,2024-03-29,4
P2025-00944,GRAPHENE-INFUSED WOODEN STRUCTURES FOR SATELLITE APPLICATIONS,,2025-03-28,G01S 19/28,United States of America,"63/571,705",2024-03-29,2024-03-29,4
P2025-00774,WIRELESS CHARGING SYSTEM FOR AUTONOMOUS ROBOTS,,2025-03-14,"B60L 53/12, B60L 53/37, B60L 58/12, H02J 7/00, H02J 7/14, H02J 50/10, H02J 50/80, H02J 50/90",United States of America,"63/565,884",2024-03-15,2024-03-15,4
P2025-00775,TERRAIN COMPLIANT ROBOT LOCOMOTION MECHANISM,,2025-03-14,B61C 13/00,United States of America,"63/565,894",2024-03-15,2024-03-15,4
P2025-00751,PAYLOAD (VARIANTS) AND AIR TRANSPORT SYSTEM (VARIANTS) COMPRISING SAME,,2025-03-13,G05D 105/20,Russian Federation,2024107042,2024-03-18,2024-03-18,4
P2025-00704,MANAGEMENT SYSTEM,,2025-03-10,G06F 16/93,Japan,JP2024-037665,2024-03-11,2024-03-11,4
P2025-00773,"SYSTEM, METHOD AND NON-TRANSITORY COMPUTER-READABLE STORAGE DEVICE FOR AUTONOMOUS NAVIGATION OF AUTONOMOUS ROBOT",,2025-03-14,G05D 1/00,United States of America,"63/565,879",2024-03-15,2024-03-15,4
P2025-00684,MODULAR SENSOR PAYLOAD FOR ROBOTIC OPERATIONS,,2025-03-07,G05D 1/667,United States of America,"63/565,869",2024-03-15,2024-03-15,4
P2025-00702,"FAST APPROACH FOR DISPERSION CURVE STACKING, VISUALIZATION AND CALIBRATION",,2025-03-10,B65G 59/02,United States of America,18/600202,2024-03-08,2024-03-08,4
P2025-00685,Smart Photo Print and Album,,2025-03-07,B42D 1/08,United States of America,"US 63/563,776",2024-03-11,2024-03-11,4
P2025-00640,Securing element,,2025-03-04,G09F 11/04,European Patent Office (EPO),24161298.5,2024-03-05,2024-03-05,4
P2025-00727,Model based safety instrumented system programming using artificial neural networks,,2025-03-11,H04N 5/761,United States of America,"18/600,996",2024-03-11,2024-03-11,4
P2025-00636,A HIGH RESOLUTION STRAIN MAPPING SENSOR,,2025-03-04,"G01L 1/14, G01B 7/16, B32B 3/00",United States of America,"63/561,049",2024-03-04,2024-03-04,4
